year,seas,index,obs,se_log
1998,7,-6,16311.445593164455,0.206917016
1999,7,-6,12351.067586722762,0.224423624
2000,7,-6,14567.316923830314,0.216833552
2001,7,-6,12226.76593365954,0.237812693
2002,7,-6,16601.307147652933,0.223575924
2003,7,-6,15371.502734508951,0.235250559
2004,7,-6,16101.314109642226,0.201429926
2005,7,-6,16314.15332671057,0.233719232
2006,7,-6,15728.65196148805,0.207725192
2007,7,-6,18104.20920789403,0.204649033
2008,7,-6,22221.15141942108,0.182237633
2009,7,-6,30519.529872581355,0.162619199
2010,7,-6,28102.691181254402,0.158237644
2011,7,-6,31765.235425323262,0.165414603
2012,7,-6,23404.413160913693,0.184185621
2013,7,-6,26349.902152467625,0.186754979
2014,7,-6,27815.074132133817,0.16135093
2015,7,-6,18036.834653191163,0.203573298
2016,7,-6,11912.689987596816,0.222649886
2017,7,-6,10352.493015022284,0.23955854
2018,7,-6,13927.859947909472,0.217041672
2019,7,-6,13425.113935129955,0.196860758
2021,7,-6,17236.373485000167,0.2033100688181818
2022,7,-6,15237.029231367314,0.2033100688181818
1988,7,-7,2.7421999381259954,0.09249774797952552
1989,7,-7,3.62707881197357,0.08565353534077795
1990,7,-7,2.713488053747422,0.08043526171134194
1991,7,-7,1.841594086727363,0.1375065238459172
1992,7,-7,2.8084550843358196,0.08420796227465988
1993,7,-7,2.271699924544754,0.0854372836003942
1994,7,-7,2.0393006512268097,0.08207652643103237
1995,7,-7,2.249622465364298,0.1085247285758363
1996,7,-7,2.2873613204106067,0.08534847296701371
1997,7,-7,2.4647638788515627,0.0789740645148321
1998,7,-7,2.2179596640716746,0.0849896114965806
1999,7,-7,1.229649745610608,0.07097983738503207
2000,7,-7,0.9553850746097803,0.07681403724932177
2001,7,-7,0.8401570183244492,0.07529355486194605
2002,7,-7,1.0630735554224298,0.06918587604303356
2003,7,-7,0.852849136277327,0.07902777355087391
2004,7,-7,1.307271036296861,0.07250557581840743
2005,7,-7,1.031308387545744,0.09205535724000188
2006,7,-7,0.8874408264417232,0.0883133581910091
2007,7,-7,1.0589687854244736,0.07992524835216239
2008,7,-7,1.2248502659172429,0.06578409169235559
2009,7,-7,1.2316266561896465,0.0694203256064329
2010,7,-7,1.0447185358371087,0.0722233123668053
2011,7,-7,1.3412978449961397,0.07000047505353066
2012,7,-7,2.5378223780942597,0.08969632498411999
2013,7,-7,1.9146307921875811,0.09768711883518369
2014,7,-7,1.3145829567158456,0.09733194443073945
2015,7,-7,1.1848075940650131,0.09635103345071394
2016,7,-7,0.8165277249281647,0.11203881235627439
2017,7,-7,0.8625040400846473,0.10589111738976381
2018,7,-7,1.1260014394877367,0.09678762176049557
2019,7,-7,0.9471310882995516,0.09216460023584155
2020,7,-7,1.3403144079219027,0.09011264951752955
2021,7,-7,1.0726391756977187,0.09066522855891605
2022,7,-7,1.1158821414677091,0.09560340601823651
2023,7,-7,1.4373650973300236,0.0966512651221856
