YEAR,BIOM,POP,BIOMVAR,POPVAR,NUMHAULS,NUMCAUGHT
1984,550970.7,320524532,6461713678.5793,2499567797199550,929,650
1987,394987.4,247020039,2634263061.58014,2092106573380560,783,602
1990,416788.3,212131668,4058397072.47287,1941079765149420,708,508
1993,405782,225479772,5378288610.5745,1896267805832640,774,558
1996,538153.5,319068011,11607043333.7765,4707462053019180,807,537
1999,306412.9,166583892,1497601008.92511,348337733185210,764,425
2001,257614,158424464,2751707684.2751,811258034521060,489,284
2003,297401.5,159749380,1984593326.65844,425710752424133,809,484
2005,308174.9,139894998,6538735664.81614,844847137610649,837,470
2007,232035.1,192305847,1046658889.70864,1131723792507130,816,481
2009,752650.9,573468976,52005965773.5735,26950567329627700,823,557
2011,500975.4,348034810,4642992280.21646,3805223522607740,670,469
2013,506362.1,337991830,5640361654.41914,2630544384713920,548,372
2015,253932.2,196555412,714807927.117691,555403471750831,771,515
2017,107324.4,56199131,188150696.524651,42939935996884.6,536,267
2019,181581,127117619,1562236458.34504,986819583606622,541,318
2021,174414.1,90913677,237769946.174323,62338389832418.2,529,325
2023,231184.4,138683369,850037618.661415,281902788618732,526,351
