survey_name,fish_length,kodiak,s_penn,east_aleut,west_aleut,bering_sea,chignik,tot_fish
CRAB2023,6,0,7712,0,0,0,0,7712
CRAB2023,7,0,23522,0,0,0,0,23522
CRAB2023,8,0,188173,0,0,0,0,188173
CRAB2023,9,0,187426,0,0,0,0,187426
CRAB2023,10,0,101798,0,0,0,0,101798
CRAB2023,17,244,0,0,0,0,0,244
CRAB2023,19,1795,0,0,0,0,0,1795
CRAB2023,21,973,2948,0,0,0,0,3921
CRAB2023,22,4788,5896,0,0,0,0,10684
CRAB2023,23,5638,14399,0,0,0,0,20037
CRAB2023,24,5280,14749,0,0,0,0,20030
CRAB2023,25,2281,9349,0,0,0,0,11629
CRAB2023,26,4743,11811,0,0,0,0,16553
CRAB2023,27,4921,16586,0,0,0,0,21508
CRAB2023,28,1437,27036,0,0,0,1135,29608
CRAB2023,29,4497,17688,0,0,0,0,22184
CRAB2023,30,6231,24389,0,0,0,1135,31755
CRAB2023,31,7574,12403,0,0,0,0,19976
CRAB2023,32,2204,11792,0,0,0,0,13996
CRAB2023,33,590,10814,0,0,0,0,11404
CRAB2023,34,4708,8844,2510,0,0,0,16062
CRAB2023,36,3999,5896,0,0,0,1845,11740
CRAB2023,37,1736,1345,0,0,0,0,3082
CRAB2023,38,5221,0,0,0,0,0,5221
CRAB2023,39,6061,10334,0,0,0,0,16395
CRAB2023,40,24510,1975,0,0,0,0,26485
CRAB2023,41,40376,4014,0,0,0,969,45359
CRAB2023,42,74120,7323,0,0,0,0,81443
CRAB2023,43,67229,4187,0,0,0,2937,74353
CRAB2023,44,44405,12125,1284,0,0,9460,67275
CRAB2023,45,58454,18761,1021,0,0,15976,94212
CRAB2023,46,81998,28905,2371,0,0,4480,117753
CRAB2023,47,48196,13115,3193,0,0,1719,66223
CRAB2023,48,69657,26046,4153,0,0,5132,104988
CRAB2023,49,42459,39048,2305,0,0,8558,92371
CRAB2023,50,38567,17484,3635,0,0,7023,66709
CRAB2023,51,72000,41714,5593,0,0,14983,134291
CRAB2023,52,59003,41597,0,0,0,24708,125309
CRAB2023,53,58779,26732,2569,0,0,23218,111297
CRAB2023,54,83203,47369,3839,0,0,25894,160304
CRAB2023,55,147623,25701,1776,0,0,38625,213725
CRAB2023,56,106372,51553,0,0,0,38597,196522
CRAB2023,57,128527,53073,1442,0,0,41488,224529
CRAB2023,58,86668,52749,1777,0,0,39933,181127
CRAB2023,59,125864,34237,2993,0,0,34627,197721
CRAB2023,60,105878,43693,778,0,0,48945,199293
CRAB2023,61,125710,33752,3061,0,0,34367,196890
CRAB2023,62,162384,32025,2444,0,0,44390,241244
CRAB2023,63,94238,23213,2078,0,0,32275,151803
CRAB2023,64,59650,23154,3328,0,0,31827,117959
CRAB2023,65,105164,16375,1654,0,0,20540,143732
CRAB2023,66,47479,31097,3992,0,0,38524,121092
CRAB2023,67,47878,15899,827,0,0,18865,83469
CRAB2023,68,39190,27042,0,0,0,21473,87705
CRAB2023,69,60561,20707,2467,0,0,24820,108555
CRAB2023,70,33598,19038,949,0,0,16688,70274
CRAB2023,71,58601,10638,827,0,0,16441,86507
CRAB2023,72,36431,17974,1125,0,0,3724,59254
CRAB2023,73,16972,12204,949,0,0,13983,44108
CRAB2023,74,27618,5937,0,0,0,11506,45060
CRAB2023,75,18719,9164,949,0,0,4427,33260
CRAB2023,76,28238,9037,0,0,0,5331,42606
CRAB2023,77,8479,3701,916,0,0,4478,17574
CRAB2023,78,12448,2754,0,0,0,8377,23580
CRAB2023,79,14026,1358,1251,0,0,0,16634
CRAB2023,80,19358,9814,0,0,0,5462,34633
CRAB2023,81,10158,2491,0,0,0,1655,14304
CRAB2023,82,3436,3707,1251,0,0,2112,10506
CRAB2023,83,8260,958,827,0,0,305,10350
CRAB2023,84,3330,2359,0,0,0,809,6498
CRAB2023,87,0,968,0,0,0,0,968
CRAB2023,88,341,0,0,0,0,0,341
CRAB2023,89,871,0,0,0,0,0,871
CRAB2023,90,879,921,0,0,0,0,1800
CRAB2023,91,384,0,0,0,0,0,384
CRAB2023,92,1663,0,0,0,0,0,1663
CRAB2023,93,906,1462,0,0,0,0,2368
CRAB2023,94,460,2758,827,0,0,0,4045
CRAB2023,95,1554,0,0,0,0,0,1554
CRAB2023,98,0,738,0,0,0,0,738
CRAB2023,99,0,1909,0,0,0,0,1909
