Year,MeanCPUE,CPUE_lwr,CPUE_upr,SPECIES_NAME
1981,3.918,2.591,5.926,Gadus macrocephalus
1982,4.721,2.454,9.085,Gadus macrocephalus
1983,5.785,3.718,9.001,Gadus macrocephalus
1985,7.919,5.574,11.249,Gadus macrocephalus
1987,3.317,1.074,10.246,Gadus macrocephalus
1988,1.196,0.657,2.175,Gadus macrocephalus
1989,64.398,44.915,92.333,Gadus macrocephalus
1990,27.594,20.863,36.498,Gadus macrocephalus
1991,15.797,10.408,23.974,Gadus macrocephalus
1992,53.031,43.219,65.071,Gadus macrocephalus
1993,4.842,3.239,7.24,Gadus macrocephalus
1994,13.514,10.67,17.116,Gadus macrocephalus
1995,38.759,28.295,53.093,Gadus macrocephalus
1996,9.068,6.901,11.916,Gadus macrocephalus
1997,19.636,15.466,24.93,Gadus macrocephalus
1998,2.42,1.574,3.721,Gadus macrocephalus
1999,5.816,4.151,8.151,Gadus macrocephalus
2000,11.049,8.286,14.732,Gadus macrocephalus
2001,6.106,4.44,8.399,Gadus macrocephalus
2002,13.721,9.574,19.664,Gadus macrocephalus
2003,2.934,1.865,4.617,Gadus macrocephalus
2004,2.957,1.992,4.39,Gadus macrocephalus
2005,1.127,0.661,1.922,Gadus macrocephalus
2006,12.039,9.094,15.938,Gadus macrocephalus
2007,31.242,24.966,39.097,Gadus macrocephalus
2008,19.31,15.08,24.725,Gadus macrocephalus
2009,14.394,11.205,18.492,Gadus macrocephalus
2010,3.091,2.011,4.75,Gadus macrocephalus
2011,3.047,1.402,6.62,Gadus macrocephalus
2013,52.468,42.994,64.03,Gadus macrocephalus
2015,0.236,0.098,0.565,Gadus macrocephalus
2017,6.167,4.202,9.049,Gadus macrocephalus
2019,0.397,0.187,0.84,Gadus macrocephalus
2021,1.307,0.631,2.704,Gadus macrocephalus
2023,2.624,0.864,7.975,Gadus macrocephalus
