year,fed_trawl,fed_longline,fed_pot,fed_other,fed_tot,st_longline,st_pot,st_other,st_tot,tot
1991,"58,092"," 7,630","10,464",  115,"76,301",    0,     0,    0,     0,"76,301"
1992,"54,593","15,675","10,154",  325,"80,747",    0,     0,    0,     0,"80,747"
1993,"37,806"," 8,963"," 9,708",   11,"56,488",    0,     0,    0,     0,"56,488"
1994,"31,447"," 6,778"," 9,161",  100,"47,486",    0,     0,    0,     0,"47,486"
1995,"41,875","10,978","16,055",   77,"68,985",    0,     0,    0,     0,"68,985"
1996,"45,990","10,196","12,040",   53,"68,279",    0,     0,    0,     0,"68,279"
1997,"48,406","10,978"," 9,065",   26,"68,475",    0," 7,368","1,327"," 8,695","77,170"
1998,"41,570","10,012","10,510",   29,"62,121",    0," 9,183","1,320","10,503","72,624"
1999,"37,167","12,363","19,015",   70,"68,615",    0,"12,410","1,518","13,928","82,543"
2000,"25,443","11,660","17,351",   54,"54,508",    0,"10,399","1,644","12,043","66,551"
2001,"24,383"," 9,910"," 7,171",  155,"41,619",    0," 7,829","2,083"," 9,912","51,531"
2002,"19,810","14,666"," 7,694",  176,"42,346",    0,"10,578","1,714","12,292","54,638"
2003,"18,884"," 9,525","12,765",  161,"41,335",   62," 7,943","3,242","11,247","52,582"
2004,"17,513","10,326","14,966",  400,"43,205",   51,"10,602","2,765","13,418","56,623"
2005,"14,549"," 5,732","14,749",  203,"35,233",   26," 9,653","2,673","12,352","47,585"
2006,"13,132","10,244","14,540",  118,"38,034",   55," 9,146",  662," 9,863","47,897"
2007,"14,775","11,539","13,573",   44,"39,931",  270,"11,378",  682,"12,330","52,261"
2008,"20,293","12,106","11,229",   63,"43,691",  317,"13,438","1,568","15,323","59,014"
2009,"13,976","13,968","11,951",  206,"40,101",  676," 9,919","2,500","13,095","53,196"
2010,"22,035","16,538","20,116",  429,"59,118",  826,"14,604","4,045","19,475","78,593"
2011,"16,456","16,622","29,233",  722,"63,033","1,033","16,675","4,627","22,335","85,368"
2012,"20,084","14,467","21,238",  722,"56,511",  866,"15,940","4,613","21,419","77,930"
2013,"21,706","12,836","17,011",  476,"52,029","1,088","14,156","1,303","16,547","68,576"
2014,"26,917","14,735","19,957","1,046","62,655","1,007","18,445","2,838","22,290","84,945"
2015,"22,268","13,047","20,653",  408,"56,376",  577,"19,719","2,808","23,104","79,480"
2016,"15,217"," 8,123","19,248",  346,"42,934",  803,"18,609","1,708","21,120","64,054"
2017,"13,041"," 8,965","13,426",   67,"35,499",  155,"13,011",   62,"13,228","48,727"
2018," 3,818"," 3,033"," 4,013",  121,"10,985",  310," 3,660",  195," 4,165","15,150"
2019," 4,535"," 2,763"," 3,732",  178,"11,208",  358," 3,820",  329," 4,507","15,715"
2020," 3,427",   586,    30,    0," 4,043",  529," 1,779",  491," 2,799"," 6,842"
2021," 5,986"," 3,834"," 3,427",   52,"13,299",  558," 4,230","1,085"," 5,873","19,172"
2022," 8,207"," 5,775"," 4,912",    3,"18,897",  372," 5,658",  994," 7,024","25,921"
2023," 6,473"," 5,177"," 4,069",  378,"16,097",  563," 3,653","1,412"," 5,628","21,725"
2024," 6,399"," 4,754"," 5,388",  319,"16,860",  528," 4,293","1,490"," 6,311","23,171"
